"id","name","transaction_id"
"l10n_py_vm","Venta de mercadería","1"
"l10n_py_ps","Prestación de servicios","2"
"l10n_py_mi","Mixto (Venta de mercadería y servicios)","3"
"l10n_py_va","Venta de activo fijo","4"
"l10n_py_vd","Venta de divisas","5"
"l10n_py_cd","Compra de divisas","6"
"l10n_py_pem","Promoción o entrega de muestras","7"
"l10n_py_do","Donación","8"
"l10n_py_an","Anticipo","9"
"l10n_py_cp","Compra de Productos","10"
"l10n_py_vcf","Venta de Crédito fiscal","11"
"l10n_py_ccf","Compra de Crédito fiscal","12"
"l10n_py_mm","Muestras médicas (Art. 3 RG 24/2014)","13"
