"id","code","name"
"rdn_001","1","Traslado por venta"
"rdn_002","2","Traslado por consignación"
"rdn_003","3","Exportación"
"rdn_004","4","Traslado por compra"
"rdn_005","5","Importación"
"rdn_006","6","Traslado por devolución"
"rdn_007","7","Traslado entre locales de la empresa"
"rdn_008","8","Traslado de bienes por transformación"
"rdn_009","9","Traslado de bienes por reparación"
"rdn_010","10","Traslado por emisor móvil"
"rdn_011","11","Exhibición o demostración"
"rdn_012","12","Participación en ferias"
"rdn_013","13","Traslado de encomienda"
"rdn_014","14","Decomiso"
"rdn_099","99","Otro (deberá consignarse expresamente el o los motivos diferentes a los mencionados anteriormente)"
