"id","code","name","report_name","internal_type","doc_code_prefix","country_id/id","active"
"dc_a_f_fe","1","Factura Electrónica","FACTURA","invoice","FAC","base.py","True"
"dc_a_f_afe","4","Autofactura electrónica","FACTURA","invoice","FAC","base.py","True"
"dc_a_f_nc","5","Nota de Crédito Electrónica","NOTA DE CREDITO","credit_note","N/C","base.py","True"
"dc_a_f_nd","6","Nota de Débito Electrónica","NOTA DE DEBITO","debit_note","N/D","base.py","True"
"dc_a_f_dte","7","Nota de remisión electrónica","FACTURA","invoice","FAC","base.py","True"
"dc_a_f_fv","95","Factura Virtual","FACTURA","invoice","FAC","base.py","True"
"dc_a_f_fa","96","Factura Autoimpresa","FACTURA","invoice","FAC","base.py","True"
"dc_a_f_ndpi","97","Nota de Débito Preimpresa","NOTA DE DEBITO","debit_note","N/D","base.py","True"
"dc_a_f_ncpi","98","Nota de Crédito Preimpresa","NOTA DE CREDITO","credit_note","N/C","base.py","True"
"dc_a_f_fpi","99","Factura Preimpresa","FACTURA","invoice","FAC","base.py","True"
