"id","name","country"
"bank_001_0","ZETA Banco","Paraguay"
"bank_002_0","Banco Rio S.A.E.C.A","Paraguay"
"bank_003_0","Solar Banco S.A.E.","Paraguay"
"bank_004_0","Ueno","Paraguay"
"bank_005_0","Banco Nacional de Fomento (BNF)","Paraguay"
"bank_006_0","Interfisa Banco","Paraguay"
"bank_007_0","Banco Atlas S.A.","Paraguay"
"bank_008_0","BANCOP S.A.","Paraguay"
"bank_009_0","Sudameris Bank S.A.E.C.A.","Paraguay"
"bank_010_0","Banco GNB - Paraguay","Paraguay"
"bank_011_0","Banco Itaú Paraguay S.A.","Paraguay"
"bank_012_0","Banco Familiar S.A.E.C.A.","Paraguay"
"bank_013_0","Banco Continental S.A.E.C.A.","Paraguay"
"bank_014_0","Banco BASA","Paraguay"
"financial_015_0","FINANCIERA FIC S.A.E.C.A.","Paraguay"
"financial_016_0","Tu Financiera","Paraguay"
"financial_017_0","Financiera Paraguayo Japonesa S.A.E.C.A","Paraguay"
"coop_018_0","COOPEDUC Ltda.","Paraguay"
"coop_019_0","Cooperativa del Sur Ltda.","Paraguay"
"coop_020_0","Cooperativa 21 de Setiembre Ltda.","Paraguay"
"coop_021_0","Cooperativa San Ignacio (COOPASI)","Paraguay"
"coop_022_0","Cooperativa Coopersam Ltda.","Paraguay"
"coop_023_0","Cooperativa Alemán Concordia Ltda.","Paraguay"
"coop_024_0","Cooperativa Reducto Ltda.","Paraguay"
"coop_025_0","Cooperativa Mborayhu Ltda.","Paraguay"
"coop_026_0","Cooperativa Nazareth Ltda.","Paraguay"
"coop_027_0","Cooperativa Coodeñe Ltda.","Paraguay"
"coop_028_0","Cooperativa Ñemby Ltda.","Paraguay"
"coop_029_0","Cooperativa Ayacapé Ltda.","Paraguay"
"coop_030_0","Cooperativa Coofy Ltda","Paraguay"
"coop_031_0","Cooperativa Mercado 4 Ltda.","Paraguay"
"coop_032_0","Cooperativa Multiactiva 8 de Marzo Ltda.","Paraguay"
"coop_033_0","Cooperativa Ypacarai Ltda.","Paraguay"
"coop_034_0","Cooperativa San Juan Bautista Ltda.","Paraguay"
"coop_035_0","Cooperativa Universitaria Ltda.","Paraguay"
"coop_036_0","Cooperativa Coomecipar Ltda.","Paraguay"
"coop_037_0","COPACONS Ltda.","Paraguay"
"coop_038_0","Cooperativa Medalla Milagrosa Ltda.","Paraguay"
"coop_039_0","Cooperativa Mburicao Ltda.","Paraguay"
"coop_040_0","Cooperativa de las Fuerzas Armadas de la Nación Ltda.","Paraguay"
"coop_041_0","Cooperativa Chortitzer Ltda.","Paraguay"
"coop_042_0","Cooperativa Neuland Ltda.","Paraguay"
"coop_043_0","Cooperativa Raúl Peña Ltda.","Paraguay"
"coop_044_0","Cooperativa Naranjal Ltda.","Paraguay"
"coop_045_0","Cooperativa Colonias Unidas Ltda.","Paraguay"
"coop_046_0","Cooperativa Fernheim Ltda.","Paraguay"
