"id","code","name","country_id/id"
"l10npy_rcs_1","1","CAPITAL","base.py"
"l10npy_rcs_10","10","PARAGUARI","base.py"
"l10npy_rcs_11","11","ALTO PARANA","base.py"
"l10npy_rcs_12","12","CENTRAL","base.py"
"l10npy_rcs_13","13","NEEMBUCU","base.py"
"l10npy_rcs_14","14","AMAMBAY","base.py"
"l10npy_rcs_15","15","PTE. HAYES","base.py"
"l10npy_rcs_16","16","BOQUERON","base.py"
"l10npy_rcs_17","17","ALTO PARAGUAY","base.py"
"l10npy_rcs_18","18","CANINDEYU","base.py"
"l10npy_rcs_2","2","CONCEPCION","base.py"
"l10npy_rcs_3","3","SAN PEDRO","base.py"
"l10npy_rcs_4","4","CORDILLERA","base.py"
"l10npy_rcs_5","5","GUAIRA","base.py"
"l10npy_rcs_6","6","CAAGUAZU","base.py"
"l10npy_rcs_7","7","CAAZAPA","base.py"
"l10npy_rcs_8","8","ITAPUA","base.py"
"l10npy_rcs_9","9","MISIONES","base.py"
