"id","code","name","account_type","reconcile","currency_id"
"cross_account_1010101","1.01.01.01","RECAUDACIONES A DEPOSITAR","asset_cash",,
"cross_account_1010102","1.01.01.02","CAJA","asset_cash",,
"cross_account_101010201","1.01.01.02.01","CAJA GS","asset_cash",,"base.PYG"
"cross_account_101010202","1.01.01.02.02","CAJA USD","asset_cash",,"base.USD"
"cross_account_1010103","1.01.01.03","FONDOS FIJOS","asset_cash",,
"cross_account_1010104","1.01.01.04","BANCOS","asset_cash",,
"cross_account_1010201","1.01.02.01","INVERSIONES FINANCIERAS","asset_current","True",
"cross_account_1010202","1.01.02.02","INVERSIONES EN ENTIDADES VINCULADAS","asset_current","True",
"cross_account_1010203","1.01.02.03","OTRAS INVERSIONES","asset_current",,
"cross_account_1010204","1.01.02.04","INTERESES, REGALÍAS Y OTROS RENDIMIENTOS DE INVERSIONES","asset_current",,
"cross_account_1010301","1.01.03.01","DEUDORES POR VENTAS","asset_receivable","True",
"cross_account_1010302","1.01.03.02","DEUDORES POR PRÉSTAMOS","asset_receivable","True",
"cross_account_1010303","1.01.03.03","CUENTAS A COBRAR A DIRECTORES Y FUNCIONARIOS","asset_receivable","True",
"cross_account_1010304","1.01.03.04","CUENTAS A COBRAR A SOCIOS O A ENTIDADES VINCULADAS","asset_receivable","True",
"cross_account_101030501","1.01.03.05.01","ANTICIPOS Y RETENCIONES DE IMPUESTO A LA RENTA","asset_receivable","True",
"cross_account_101030502","1.01.03.05.02","RETENCIONES DE IVA","asset_receivable","True",
"cross_account_101030503","1.01.03.05.03","IVA - CRÉDITO FISCAL","asset_current","True",
"cross_account_101030504","1.01.03.05.04","IVA - CRÉDITO FISCAL - RÉGIMEN DE TURISMO","asset_current","True",
"cross_account_101030601","1.01.03.06.01","ANTICIPOS A PROVEEDORES LOCALES","asset_current","True",
"cross_account_101030602","1.01.03.06.02","ANTICIPOS A PROVEEDORES DEL EXTERIOR","asset_current","True",
"cross_account_1010399","1.01.03.99","(-) PREVISIÓN PARA CRÉDITOS DE DUDOSO COBRO","asset_current",,
"cross_account_1010401","1.01.04.01","MERCADERÍAS","asset_current",,
"cross_account_101040101","1.01.04.01.01","MERCADERÍAS GRAVADAS POR EL IVA AL 10%","asset_current",,
"cross_account_101040102","1.01.04.01.02","MERCADERÍAS GRAVADAS POR EL IVA AL 5%","asset_current",,
