"id","category_id","code","uom_type","name"
"uom.product_uom_millimeter","Length / Distance","95","Smaller than the reference Unit of Measure","mm"
"uom.product_uom_gram","Weight","86","Smaller than the reference Unit of Measure","g"
"uom.product_uom_cm","Length / Distance","91","Smaller than the reference Unit of Measure","cm"
"uom.product_uom_cubic_inch","Volume","","Smaller than the reference Unit of Measure","in³"
"uom.product_uom_inch","Length / Distance","","Smaller than the reference Unit of Measure","in"
"uom.product_uom_oz","Weight","","Smaller than the reference Unit of Measure","oz"
"uom.product_uom_floz","Volume","","Smaller than the reference Unit of Measure","fl oz (US)"
"uom.uom_square_foot","Surface","","Smaller than the reference Unit of Measure","ft²"
"uom.product_uom_hour","Working Time","100","Smaller than the reference Unit of Measure","Hours"
"uom.product_uom_foot","Length / Distance","","Smaller than the reference Unit of Measure","ft"
"uom.product_uom_lb","Weight","","Smaller than the reference Unit of Measure","lb"
"uom.product_uom_yard","Length / Distance","103","Smaller than the reference Unit of Measure","yd"
"uom.product_uom_qt","Volume","","Smaller than the reference Unit of Measure","qt (US)"
"uom.product_uom_unit","Unit","77","Reference Unit of Measure for this category","Units"
"uom.product_uom_day","Working Time","102","Reference Unit of Measure for this category","Days"
"uom.product_uom_meter","Length / Distance","87","Reference Unit of Measure for this category","m"
"uom.uom_square_meter","Surface","109","Reference Unit of Measure for this category","m²"
"uom.product_uom_litre","Volume","89","Reference Unit of Measure for this category","L"
"uom.product_uom_kgm","Weight","83","Reference Unit of Measure for this category","kg"
"__export__.uom_uom_81_27c92ad2","Unit","2366","Smaller than the reference Unit of Measure","Costo por mil"
"__export__.uom_uom_82_4b95bafd","Unit","2329","Smaller than the reference Unit of Measure","Unidad internacional"
"__export__.uom_uom_83_f414f2de","Unit","104","Smaller than the reference Unit of Measure","Determinación"
"__export__.uom_uom_84_29cc55fc","Unit","885","Smaller than the reference Unit of Measure","Unidad Medida Global"
"__export__.uom_uom_85_faef0692","Unit","891","Smaller than the reference Unit of Measure","Por Milaje"
"__export__.uom_uom_86_4edf015e","Weight","90","Smaller than the reference Unit of Measure","mg"
"__export__.uom_uom_87_5b34040d","Weight","79","Smaller than the reference Unit of Measure","kg/m²Kilogramos s/ metro cuadrado"
"__export__.uom_uom_88_9599912b","Weight","569","Smaller than the reference Unit of Measure","Ración"
"__export__.uom_uom_89_e370864c","Working Time","97","Smaller than the reference Unit of Measure","Año"
"__export__.uom_uom_90_8589cb61","Working Time","98","Smaller than the reference Unit of Measure","Mes"
"__export__.uom_uom_91_b6340c28","Working Time","101","Smaller than the reference Unit of Measure","Minuto"
"__export__.uom_uom_92_a4c33a73","Working Time","666","Smaller than the reference Unit of Measure","Segundo"
"__export__.uom_uom_93_de9387b6","Length / Distance","660","Smaller than the reference Unit of Measure","Metro lineal"
"__export__.uom_uom_94_fab2250f","Volume","92","Smaller than the reference Unit of Measure","cm²"
"__export__.uom_uom_95_bb1992b1","Volume","93","Smaller than the reference Unit of Measure","cm³"
"__export__.uom_uom_96_cb1faf20","Volume","94","Smaller than the reference Unit of Measure","Pulgadas"
"__export__.uom_uom_97_fdce58e3","Volume","96","Smaller than the reference Unit of Measure","mm²"
"__export__.uom_uom_98_6bd4ed1d","Volume","88","Smaller than the reference Unit of Measure","Mililitros"
"__export__.uom_uom_99_799f6e48","Volume","869","Smaller than the reference Unit of Measure","Hectáreas"
"uom.product_uom_gal","Volume","","Bigger than the reference Unit of Measure","gal (US)"
"uom.product_uom_dozen","Unit","","Bigger than the reference Unit of Measure","Dozens"
"uom.product_uom_cubic_foot","Volume","","Bigger than the reference Unit of Measure","ft³"
"uom.product_uom_km","Length / Distance","625","Bigger than the reference Unit of Measure","km"
"uom.product_uom_cubic_meter","Volume","110","Bigger than the reference Unit of Measure","m³"
"uom.product_uom_ton","Weight","99","Bigger than the reference Unit of Measure","t"
"uom.product_uom_mile","Length / Distance","","Bigger than the reference Unit of Measure","mi"
