Referencia interna;Nombre;Tipo de producto;Disponible en PDV;Categoria del producto;Rastrear inventario;Precio de venta;is_pos_bom;Unidades
PROD001;HUEVOS BENEDICTINOS CON SALMÓN AHUMADO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD002;HUEVOS BENEDICTINOS CON LOMO AHUMADO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD003;HUEVOS BENEDICTINOS CON JAMÓN CRUDO ;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD004;HUEVOS BENEDICTINOS CON JAMÓN DE PAVO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD005;HUEVOS REVUELTOS SIMPLE;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD006;HUEVOS REVUELTOS CON JAMÓN CRUDO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD007;HUEVOS REVUELTOS CON JAMÓN DE PAVO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD008;HUEVOS REVUELTOS CON JAMÓN Y QUESO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD009;HUEVOS REVUELTOS CON LOMO AHUMADO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD010;HUEVOS REVUELTOS CON PANCETA;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD011;TOSTADAS FRANCESAS CON QUESO PARAGUAY, FRUTAS Y PANCETA;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD012;SANDWICH DE CROISSANT DE JAMÓN Y QUESO;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
PROD013;SANDWICH DE CROISSANT DE HUEVOS REVUELTOS;Almacenable;VERDADERO;COMIDAS;VERDADERO;;VERDADERO;Unidades
