external id;name;product type;available on pos;product cathegory;track inventory;price;is_pos_bom
PROD001;HUEVOS BENEDICTINOS CON SALMÓN AHUMADO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD002;HUEVOS BENEDICTINOS CON LOMO AHUMADO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD003;HUEVOS BENEDICTINOS CON JAMÓN CRUDO ;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD004;HUEVOS BENEDICTINOS CON JAMÓN DE PAVO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD005;HUEVOS REVUELTOS SIMPLE;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD006;HUEVOS REVUELTOS CON JAMÓN CRUDO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD007;HUEVOS REVUELTOS CON JAMÓN DE PAVO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD008;HUEVOS REVUELTOS CON JAMÓN Y QUESO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD009;HUEVOS REVUELTOS CON LOMO AHUMADO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD010;HUEVOS REVUELTOS CON PANCETA;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD011;TOSTADAS FRANCESAS CON QUESO PARAGUAY, FRUTAS Y PANCETA;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD012;SANDWICH DE CROISSANT DE JAMÓN Y QUESO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD013;SANDWICH DE CROISSANT DE HUEVOS REVUELTOS;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD014;SANDWICH DE CROISSANT DE BONDIOLA;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD015;CROISSANT DE QUESO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD016;CROISSANT JAMON DE PAVO Y QUESO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD017;CROISSANT DE JAMÓN Y QUESO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD018;MIXTO DE JAMÓN Y QUESO PAN LACTAL BLANCO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD019;MIXTO DE JAMÓN Y QUESO PAN LACTAL INTEGRAL;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD020;MIXTO DE JAMÓN Y QUESO MASA MADRE;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
PROD021;MIXTO DE JAMÓN DE PAVO PAN LACTAL BLANCO;goods;VERDADERO;COMIDAS;VERDADERO;;VERDADERO
