Referencia interna;Nombre;Costo;Categoria del producto;Rastrear inventario;Precio de venta;Disponible en PdV;Unidades
MP002;NUTELLA;66;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP004;ACEITUNA;50;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP005;HARINA DE CHIA;30;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP011;AGUJA CARNE;33;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP012;AJI MOLIDO PICANTE;40;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP013;AJI PICANTE;100;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP014;AJO;45;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP015;AJO EN POLVO;80;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP017;ALCAPARRAS;270;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP018;ALMENDRAS;130;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP019;ALMIDON DE MANDIOCA;8;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP020;ANIS;"67,3";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP021;ANIS ESTRELLADO;105;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP023;ARROZ BLANCO TIPO 1;"8,8";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP024;ARROZ CAZUELA;12;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP025;ARROZ PARA RISOTTO;56;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP026;ATUN;88;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP027;AVELLANA;156;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP028;AVENA ARROLLADA;20;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP029;AVENA SIN GLUTEN;42;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP030;AZUCAR BLANCA;"7,2";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP031;AZUCAR DE COCO;65;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP032;AZUCAR IMPALPABLE;14;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP033;AZUCAR MORENA;15;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP035;BATATA;"8,5";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP036;BERENJENAS;12;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP037;BICARBINATO DE SODIO;"13,5";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP038;BOLDO SECO;45;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP039;BONDIOLA AHUMADA;88;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP040;BROCOLI;20;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP041;KURATU;;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP043;CACAO 100% POLVO;164;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP045;CAFE ANTILLAS;220;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP046;CAFE BLEND ESPRESSO TOTEM;220;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP047;CAFE BLEND SOROCABANA TOTEM;240;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP048;CAFE DEUX DARK;220;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP049;CAFE DEUX MEDIUM;220;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP050;CAFE GEISHA TOTEM;400;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP051;CAFE LAPACHO TOTEM;320;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP052;CAFE QUINTO ESPRESSO;220;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP053;CALABAZA;12;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP054;CANELA EN POLVO;60;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP055;CANELA EN RAMA;108;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP057;CARDAMOMO;540;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP058;CARNE BOLA DE LOMO;65;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP059;CASTAÑA DE CAJU;140;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP060;CEBOLLA BLANCA;5;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP061;CEBOLLA EN POLVO;90;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP062;CEBOLLA MORADA;"7,5";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP064;CEREZA GLASEADA;113;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP066;CHAUCHA;"28,5";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP067;CHOCLO SÁCHET;30;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP068;CHOCO CHIPS BLANCO;55;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP069;CHOCO CHIPS NEGRO;55;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP070;CHOCOLATE BLANCO;70;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP071;CHOCOLATE BLANCO PARA MOLDEAR;55;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP072;CHOCOLATE SEMI AMARGO;70;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP073;CLAVO DE OLOR;195;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP074;COCO RALLADO SIN AZUCAR;39;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP075;COLIFLOR;20;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP077;CONDIPIZZA;55;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP078;COSTILLITA AHUMADA;45;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP079;COSTILLITA DE CERDO;38;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP081;CUADRIL VACUNO;65;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP082;CURCUMA;38;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP083;DAMASCOS DESHIDRATADOS;100;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP084;DATILES;70;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP085;DULCE DE BATATA;26;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP086;DULCE DE GUAYABA;16;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP087;DULCE DE LECHE FAMILIAR;"21,8";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP088;DULCE DE MEMBRILLO;"28,5";MATERIA PRIMA;VERDADERO;0;FALSO;g
MP089;DURAZNO EN LATA;23;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP091;ERITRITOL;36;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP098;ESTRAGON;270;MATERIA PRIMA;VERDADERO;0;FALSO;g
MP099;EXTRACTO DE MALTA EN JARABE;22;MATERIA PRIMA;VERDADERO;0;FALSO;g
