External id;Name;Cost;Product cathegory;Track inventory;Price;Available on POS;Units
MP002;NUTELLA;"66,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP004;ACEITUNA;"50,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP005;HARINA DE CHIA;"30,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP011;AGUJA CARNE;"33,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP012;AJI MOLIDO PICANTE;"40,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP013;AJI PICANTE;"100,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP014;AJO;"45,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP015;AJO EN POLVO;"80,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP017;ALCAPARRAS;"270,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP018;ALMENDRAS;"130,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP019;ALMIDON DE MANDIOCA;"8,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP020;ANIS;"67,30 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP021;ANIS ESTRELLADO;"105,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP023;ARROZ BLANCO TIPO 1;"8,80 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP024;ARROZ CAZUELA;"12,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP025;ARROZ PARA RISOTTO;"56,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP026;ATUN;"88,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP027;AVELLANA;"156,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP028;AVENA ARROLLADA;"20,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP029;AVENA SIN GLUTEN;"42,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP030;AZUCAR BLANCA;"7,20 ";MATERIA PRIMA;TRUE;0;FALSE;g
MP031;AZUCAR DE COCO;"65,00 ";MATERIA PRIMA;TRUE;0;FALSE;g
